also	O
,	O
i	O
have	O
recently	O
discovered	O
advil	B-Object
liquigels	O
work	O
much	O
better	B-Predicate
and	O
faster	B-Predicate
for	O
a	O
headache	B-Aspect
than	O
regular	O
ibuprofen	B-Object
.	O

i	O
have	O
always	O
heard	O
that	O
motrin	B-Object
is	O
better	B-Predicate
than	O
advil	B-Object
for	O
fevers	B-Aspect
,	O
and	O
that	O
advil	B-Object
works	O
better	B-Predicate
for	O
body	B-Aspect
aches	I-Aspect
and	O
pains	B-Aspect
.	O

when	O
i	O
was	O
a	O
figure	O
skater	O
i	O
injuried	O
my	O
ankles	O
all	O
the	O
time	O
and	O
the	O
quickest	O
way	O
back	O
on	O
your	O
feet	O
is	O
regular	O
doses	O
of	O
motrin	B-Object
(	O
faster	B-Predicate
acting	I-Predicate
than	O
advil	B-Object
and	O
you	O
can	O
take	O
it	O
more	O
often	O
)	O
ice	O
and	O
keeping	O
it	O
above	O
your	O
hip	O
.	O

in	O
a	O
way	O
,	O
halloween	B-Object
is	O
even	O
better	B-Predicate
than	O
thanksgiving	B-Object
(	O
my	O
absolute	O
favorite	O
holiday	O
)	O
because	O
thanksgiving	B-Object
divides	O
us	O
into	O
separate	O
households	O
,	O
while	O
halloween	B-Object
unites	O
us	O
into	O
bands	O
of	O
candy	O
bandits	O
.	O

i	O
think	O
halloween	B-Object
is	O
actually	O
safer	B-Predicate
than	O
christmas	O
and	O
thanksgiving	B-Object
.	O

this	O
year	O
,	O
the	O
cousin	O
with	O
the	O
newest	O
baby	O
decided	O
to	O
bring	O
her	O
to	O
meet	O
the	O
family	O
on	O
halloween	B-Object
,	O
rather	O
than	O
thanksgiving	B-Object
or	O
christmas	B-Object
,	O
because	O
travel	B-Aspect
is	O
easier	B-Predicate
and	O
distractions	B-Aspect
fewer	B-Predicate
.	O

if	O
you	O
were	O
to	O
give	O
$	B-Aspect
200	I-Aspect
as	O
a	O
wedding	B-Object
gift	B-Aspect
,	O
it	O
might	O
be	O
easier	B-Predicate
for	I-Predicate
them	I-Predicate
to	I-Predicate
accept	I-Predicate
than	O
if	O
you	O
gave	O
them	O
$	B-Aspect
200	I-Aspect
for	O
a	O
birthday	B-Object
because	O
that	O
type	O
of	O
gift	B-Aspect
on	O
a	O
birthday	B-Object
is	O
not	O
normal	O
.	O

birthday	B-Object
cakes	B-Aspect
are	O
easier	B-Predicate
to	I-Predicate
make	I-Predicate
and	O
there	O
'	O
s	O
less	B-Predicate
pressure	B-Aspect
for	O
a	O
beginner	O
than	O
wedding	B-Object
cakes	O
.	O

a	O
friend	O
once	O
told	O
me	O
her	O
parents	O
'	O
wedding	B-Object
anniversary	O
was	O
a	O
far	O
greater	B-Predicate
family	B-Aspect
holiday	I-Aspect
than	O
her	O
own	O
birthday	B-Object
.	O

when	O
i	O
think	O
about	O
my	O
average	O
wedding	B-Object
cake	B-Aspect
earnings	I-Aspect
,	O
taking	O
into	O
consideration	O
the	O
time	B-Aspect
and	O
materials	B-Aspect
i	O
invest	O
in	O
baking	O
and	O
deco	O
-	O
ing	O
,	O
the	O
return	B-Aspect
is	O
hands	O
down	O
so	O
much	O
greater	B-Predicate
than	O
spending	O
the	O
same	O
amount	O
of	O
time	B-Aspect
doing	O
birthday	B-Object
-	O
style	O
cakes	O
.	O

i	O
used	O
chalk	B-Object
pastels	B-Aspect
,	O
which	O
are	O
much	O
easier	B-Predicate
to	I-Predicate
control	I-Predicate
than	O
paint	B-Object
brushes	B-Aspect
.	O

white	O
chalk	B-Object
is	O
nicer	B-Predicate
than	O
charcoal	B-Object
,	O
condo	O
said	O
,	O
because	O
you	O
can	O
go	O
right	O
over	O
it	O
with	O
oil	O
paint	O
.	O

it	O
'	O
s	O
also	O
a	O
bit	O
easier	B-Predicate
to	I-Predicate
carry	I-Predicate
a	O
piece	O
of	O
chalk	B-Object
in	O
your	O
pocket	O
than	O
20	O
or	O
30	O
stencils	O
and	O
a	O
can	O
of	O
spray	O
paint	B-Object
.	O

skiing	B-Object
:	O
safer	B-Predicate
than	O
biking	B-Object
,	O
swimming	B-Object
.	O

in	O
this	O
regard	O
,	O
skiing	B-Object
and	O
snowboarding	B-Object
are	O
safer	B-Predicate
sports	O
than	O
bike	B-Object
riding	I-Object
or	O
swimming	B-Object
.	O

this	O
fatality	O
rate	O
makes	O
skiing	B-Object
and	O
snowboarding	B-Object
more	B-Predicate
dangerous	I-Predicate
than	O
bicycling	B-Object
and	O
slightly	O
safer	B-Predicate
than	O
swimming	B-Object
.	O

statistically	O
speaking	O
,	O
skiing	B-Object
is	O
generally	O
considered	O
safer	B-Predicate
than	O
swimming	B-Object
,	O
horse	B-Object
riding	I-Object
,	O
climbing	B-Object
,	O
or	O
playing	O
football	B-Object
.	O

to	O
the	O
public	O
,	O
ski	O
resorts	O
market	O
skiing	B-Object
and	O
snowboarding	B-Object
as	O
safe	O
-	O
safer	B-Predicate
than	O
cycling	B-Object
or	O
swimming	B-Object
.	O

so	O
it	O
is	O
well	O
known	O
that	O
grading	B-Aspect
at	O
stanford	B-Object
or	O
harvard	B-Object
is	O
easier	B-Predicate
than	O
grading	B-Aspect
at	O
mit	B-Object
or	O
caltech	B-Object
.	O

it	O
seems	O
like	O
the	O
guys	B-Aspect
at	O
mit	B-Object
are	O
worse	B-Predicate
than	O
the	O
guys	B-Aspect
at	O
harvard	B-Object
because	O
the	O
shuttle	O
runs	O
directly	O
to	O
the	O
frats	O
at	O
mit	B-Object
,	O
says	O
jaronczyk	O
.	O

at	O
mit	B-Object
we	O
thought	O
we	O
were	O
better	B-Predicate
than	O
people	B-Aspect
at	O
harvard	B-Object
because	O
we	O
were	O
smarter	B-Predicate
and	O
worked	B-Predicate
harder	I-Predicate
.	O

if	O
you	O
want	O
to	O
say	O
mit	B-Object
kids	B-Aspect
are	O
smarter	B-Predicate
than	O
harvard	B-Object
kids	B-Aspect
,	O
well	O
,	O
i	O
give	O
that	O
to	O
you	O
.	O

i	O
can	O
'	O
t	O
understand	O
why	O
they	O
'	O
d	O
turn	O
down	O
the	O
mit	B-Object
engineer	B-Aspect
who	O
is	O
probably	O
much	O
smarter	B-Predicate
then	O
the	O
harvard	B-Object
poetry	B-Aspect
major	I-Aspect
.	O

bryan	O
says	O
that	O
general	O
opinion	O
on	O
campus	O
favors	O
harvard	B-Object
men	B-Aspect
as	O
being	O
more	B-Predicate
"	I-Predicate
normal	I-Predicate
"	I-Predicate
than	O
the	O
men	B-Aspect
at	O
the	O
mit	B-Object
shuttle	O
stop	O
.	O

it	O
is	O
even	O
harder	B-Predicate
to	I-Predicate
get	I-Predicate
off	I-Predicate
the	I-Predicate
waitlist	I-Predicate
from	O
mit	B-Object
than	O
at	O
harvard	B-Object
or	O
stanford	B-Object
.	O

mit	B-Object
announced	O
last	O
week	O
that	O
the	O
size	O
of	O
its	O
endowment	B-Aspect
fell	O
by	O
roughly	O
21	O
percent	O
this	O
past	O
fiscal	O
year	O
-	O
substantially	O
better	B-Predicate
than	O
the	O
30	O
percent	O
declines	O
reported	O
by	O
harvard	B-Object
and	O
yale	B-Object
only	O
a	O
few	O
days	O
earlier	O
.	O

with	O
debug	B-Aspect
on	O
and	O
all	O
safety	B-Aspect
features	O
enabled	O
swift	B-Object
is	O
currently	O
between	O
20	O
-	O
300x	O
times	O
slower	B-Predicate
than	O
objective	B-Object
-	I-Object
c	I-Object
.	O

dare	O
i	O
also	O
say	O
that	O
learning	B-Aspect
objective	B-Object
-	I-Object
c	I-Object
may	O
be	O
a	O
tad	O
easier	B-Predicate
than	O
swift	B-Object
,	O
only	O
because	O
objective	B-Object
-	I-Object
c	I-Object
does	O
not	O
contain	O
some	O
of	O
the	O
more	O
advanced	O
features	O
as	O
swift	B-Object
such	O
as	O
functional	B-Aspect
patterns	I-Aspect
,	O
generics	B-Aspect
,	O
and	O
advanced	B-Aspect
enumeration	I-Aspect
and	O
collection	B-Aspect
features	I-Aspect
.	O

swift	B-Object
is	O
ultimately	O
a	O
bigger	B-Predicate
language	O
than	O
objective	B-Object
c	I-Object
,	O
with	O
features	O
like	O
advanced	B-Aspect
enums	I-Aspect
,	O
generics	B-Aspect
/	O
templates	B-Aspect
,	O
tuples	B-Aspect
,	O
operator	B-Aspect
overloading	I-Aspect
,	O
etc	O
.	O

you	O
'	O
ll	O
pick	O
up	O
swift	B-Object
language	O
features	O
and	O
syntax	O
along	O
the	O
way	O
,	O
and	O
understand	O
why	O
using	O
swift	B-Object
(	O
instead	O
of	O
objective	B-Object
-	I-Object
c	I-Object
)	O
makes	O
ios	O
and	O
mac	O
